Topic Area,Indicator Name,Measure,Data Year,Stratifier,Subgroup,Unit,Value,LL,UL,Flag,Comparison
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Overall,Toronto,%,11.2,10.8,11.6,,
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Overall,Ontario excluding Toronto,%,19.5,19.2,19.7,,
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Region_within_Ontario,Toronto,%,11.2,10.8,11.6,,CG
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Region_within_Ontario,Ontario excluding Toronto,%,19.5,19.2,19.7,,H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Region_within_Ontario,Lowest Ontario PHU,%,7.8,7.3,8.3,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Region_within_Ontario,GTA excluding Toronto,%,11.6,11.2,11.9,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Region_within_Ontario,Highest Ontario PHU,%,40.4,33.5,47.4,,H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2013,Time,2013,%,3.5,3.3,3.7,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2014,Time,2014,%,4.4,4.1,4.6,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2015,Time,2015,%,5.3,5,5.6,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2016,Time,2016,%,5.8,5.5,6.1,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2017,Time,2017,%,6.6,6.3,7,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2018,Time,2018,%,8,7.6,8.3,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019,Time,2019,%,8.6,8.2,8.9,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2020,Time,2020,%,9.8,9.4,10.2,C(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Time,2021,%,11.2,10.8,11.6,,
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Income_Quintile,Quintile 1,%,7.2,6.5,8,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Income_Quintile,Quintile 2,%,7.6,6.9,8.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Income_Quintile,Quintile 3,%,10.5,9.6,11.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Income_Quintile,Quintile 4,%,14.9,13.8,15.9,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2021,Income_Quintile,Quintile 5,%,15.8,14.7,17,C(M),CG
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,1,%,4.3,3,5.5,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,2,%,3.5,2.4,4.6,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,3,%,5.7,3.1,8.2,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,4,%,7.6,4.6,10.6,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,5,%,7.3,4.1,10.5,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,6,%,6,4.3,7.8,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,7,%,8.6,6.1,11,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,8,%,11.8,7.2,16.3,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,9,%,11,7.1,14.8,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,10,%,8.5,4,12.9,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,11,%,9.9,6.8,13,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,12,%,15.7,9.9,21.6,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,13,%,13.1,9,17.3,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,15,%,10.8,4.9,16.7,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,16,%,14.6,11.5,17.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,18,%,15.3,11,19.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,19,%,14.5,10.4,18.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,20,%,11.1,7.7,14.6,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,21,%,3.8,1.9,5.7,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,22,%,4.2,2.6,5.7,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,23,%,8.8,5.7,11.8,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,24,%,3.5,2.2,4.8,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,25,%,4.9,3.4,6.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,27,%,5.9,4.4,7.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,28,%,8.3,4.3,12.4,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,29,%,5.9,3.4,8.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,30,%,6,4,8,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,31,%,11,7.8,14.3,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,32,%,11.1,8.8,13.4,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,33,%,11.1,7.7,14.6,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,34,%,8.1,5.8,10.4,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,35,%,5.9,4.1,7.7,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,36,%,3.8,2.3,5.3,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,37,%,7.9,5.1,10.7,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,38,%,8.4,5.5,11.2,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,39,%,15.3,11.8,18.8,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,40,%,8.5,4.8,12.1,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,41,%,12.4,5.9,18.9,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,42,%,9.6,7,12.2,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,43,%,10.3,7.5,13.1,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,44,%,5.5,3.9,7.1,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,46,%,4,1.9,6,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,47,%,6.3,4.2,8.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,48,%,7.1,3.6,10.6,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,49,%,8.6,5,12.2,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,50,%,7.5,4.1,10.8,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,52,%,6.6,4.5,8.6,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,53,%,4.7,3.3,6.2,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,54,%,12.7,9.5,15.8,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,55,%,5.4,3.9,6.8,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,56,%,17.6,12.8,22.5,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,57,%,18.5,13.5,23.5,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,58,%,16.5,11,22.1,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,59,%,14,10.7,17.3,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,60,%,17.1,11.8,22.4,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,61,%,9.4,6.9,11.9,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,62,%,17.7,14.4,20.9,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,63,%,17.4,13.5,21.2,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,64,%,19.4,15,23.9,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,65,%,18.5,14.5,22.5,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,66,%,18.3,12.9,23.8,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,67,%,24.8,16.5,33.2,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,68,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,69,%,13.5,8.5,18.5,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,70,%,18,15,21.1,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,71,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,72,%,10.1,6.6,13.5,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,73,%,11.9,8.9,14.9,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,74,%,6.9,4.4,9.5,C(M),L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,78,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,79,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,80,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,81,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,83,%,18.4,13.1,23.7,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,84,%,16.1,11.8,20.4,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,85,%,15.3,11.8,18.9,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,86,%,19.3,14.6,24,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,87,%,20.9,17,24.8,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,88,%,16.1,12.7,19.5,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,89,%,20.5,14.9,26.1,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,90,%,20.1,15.8,24.4,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,91,%,14.7,10.8,18.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,92,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,94,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,95,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,96,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,97,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,98,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,99,%,12.4,10.1,14.7,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,100,%,17.6,12.5,22.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,101,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,102,%,18,12.7,23.3,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,103,%,18.9,13.2,24.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,105,%,14.7,10.4,19,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,106,%,,,,S(M),
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,107,%,19.2,15.4,23,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,108,%,12.5,9,15.9,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,109,%,13.8,9.6,18.1,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,110,%,11.6,8,15.3,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,111,%,9.8,7.5,12.1,C(M),NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,112,%,7.5,3.8,11.2,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,113,%,7,5.2,8.9,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,114,%,17.4,11.6,23.3,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,115,%,6.6,4.3,9,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,116,%,3.4,1.7,5.2,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,118,%,4.3,2.7,5.8,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,119,%,9,7,11.1,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,120,%,7.9,6.1,9.7,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,121,%,6.2,4,8.3,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,122,%,14.4,11.2,17.6,C(M),H
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,123,%,11.6,8,15.1,,NS
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,124,%,5.9,3.8,7.9,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,125,%,4.3,2.1,6.4,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,126,%,5.6,4,7.2,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,128,%,4.6,3,6.2,,L
Reproductive_and_Infant_Health,Anxiety During Pregnancy,Percent Experiencing Anxiety During Pregnancy,2019-2021,Neighbourhood_Number,129,%,2.4,1.1,3.7,,L
