Neighbourhood,Total population,number of educated people,number of 15-45,number of employers,long_latt,number_gyms,number_venues
New Toronto,10905.0,7445.0,4650.0,5360.0,"[-79.4968413564576, 43.6012283261405]",1.0,20.0
Newtonbrook East,16425.0,12580.0,7100.0,7550.0,"[-79.3932382011056, 43.784660837406]",0.0,8.0
Newtonbrook West,23050.0,17790.0,9875.0,10900.0,"[-79.4270213613855, 43.7772079217892]",1.0,37.0
Niagara,21000.0,18010.0,14920.0,15535.0,"[-79.420759416622, 43.6389032792075]",3.0,97.0
North Riverdale,12195.0,8710.0,4990.0,6850.0,"[-79.3597967544888, 43.6707365412866]",2.0,90.0
North St. James Town,17825.0,13355.0,9720.0,8935.0,"[-79.376270792038, 43.6664293113267]",1.0,98.0
Oakridge,13505.0,8080.0,5770.0,5010.0,"[-79.3048273200971, 43.7165851942284]",1.0,17.0
Oakwood Village,21075.0,13195.0,8885.0,10465.0,"[-79.2896432830877, 43.6945273424173]",2.0,36.0
O'Connor-Parkview,18315.0,12015.0,7195.0,8480.0,"[-79.4298991024178, 43.6838873093489]",0.0,78.0
Old East York,9115.0,6475.0,3425.0,4840.0,"[-79.3356904057412, 43.7030791997533]",1.0,30.0
Palmerston-Little Italy,13735.0,10515.0,7870.0,8555.0,"[-79.4179822658754, 43.6552544722333]",0.0,100.0
Parkwoods-Donalda,34620.0,24620.0,14365.0,16420.0,"[-79.3361123102507, 43.7415562256228]",0.0,21.0
Pelmo Park-Humberlea,8705.0,5265.0,3345.0,4060.0,"[-79.5277781900335, 43.7065371143048]",1.0,33.0
Playter Estates-Danforth,7655.0,5690.0,3240.0,4325.0,"[-79.3454024242913, 43.680441195517204]",4.0,93.0
Pleasant View,16145.0,11315.0,6425.0,7400.0,"[-79.3377107455718, 43.7758324484203]",2.0,73.0
Princess-Rosethorn,11200.0,8360.0,3775.0,5585.0,"[-79.53748243791962, 43.65290812360251]",0.0,21.0
Regent Park,10010.0,5820.0,4940.0,3450.0,"[-79.3564502940338, 43.6644904578707]",1.0,95.0
Rexdale-Kipling,10485.0,6505.0,3950.0,4680.0,"[-79.5741646343167, 43.7355404392813]",0.0,13.0
Rockcliffe-Smythe,22270.0,12730.0,8935.0,9955.0,"[-79.5071296688486, 43.6793510892533]",0.0,5.0
Roncesvalles,15050.0,10170.0,7135.0,8255.0,"[-79.4521493275074, 43.6551927866022]",0.0,98.0
Rosedale-Moore Park,20635.0,16640.0,7340.0,10470.0,"[-79.3793753144355, 43.6718374305527]",3.0,95.0
Rouge,45905.0,31355.0,19040.0,22630.0,"[-79.200181515255, 43.8036974725661]",1.0,20.0
Runnymede-Bloor West Village,9635.0,6875.0,3955.0,5140.0,"[-79.4949287739901, 43.6593769938082]",1.0,31.0
Rustic,9950.0,5260.0,3765.0,3560.0,"[-79.5011714568399, 43.7185614269282]",0.0,18.0
Scarborough Village,16615.0,9975.0,6800.0,6365.0,"[-79.2200307106905, 43.7284974757118]",0.0,11.0
South Parkdale,21245.0,13725.0,11035.0,9780.0,"[-79.4388361647774, 43.632999184321]",1.0,23.0
South Riverdale,25640.0,16950.0,12375.0,13730.0,"[-79.3342521342529, 43.6431806090002]",0.0,9.0
St.Andrew-Windfields,17955.0,13825.0,6895.0,8800.0,"[-79.3852387333819, 43.747808761629]",0.0,15.0
Steeles,25010.0,17135.0,9915.0,10745.0,"[-79.3089876934767, 43.8082759877451]",0.0,25.0
Stonegate-Queensway,24690.0,17820.0,9190.0,12550.0,"[-79.48496738444501, 43.6412304354618]",1.0,35.0
Tam O'Shanter-Sullivan,27390.0,18660.0,10395.0,11345.0,"[-79.3185495361531, 43.778023654632]",2.0,47.0
Taylor-Massey,15595.0,10215.0,7095.0,6695.0,"[-79.296869933918, 43.7011386713316]",0.0,20.0
The Beaches,21135.0,15820.0,8450.0,12155.0,"[-79.293211134959, 43.6800049510967]",0.0,50.0
Thistletown-Beaumond Heights,10140.0,6170.0,4020.0,4290.0,"[-79.5617047368198, 43.742112086675405]",0.0,23.0
Thorncliffe Park,19225.0,11445.0,8530.0,6735.0,"[-79.350370238326, 43.699651952332]",1.0,38.0
Trinity-Bellwoods,16805.0,10605.0,8750.0,9155.0,"[-79.4067961746276, 43.6542865396434]",0.0,100.0
University,7790.0,5435.0,4565.0,3680.0,"[-79.3936115465026, 43.6655972244077]",4.0,95.0
Victoria Village,17180.0,11340.0,6755.0,7535.0,"[-79.3224459758419, 43.7163258785894]",3.0,23.0
Waterfront Communities-The Island,43365.0,39080.0,29695.0,31375.0,"[-79.3546047826462, 43.6549105254359]",3.0,95.0
West Hill,26550.0,17155.0,10440.0,10755.0,"[-79.1960803388911, 43.7756868632516]",0.0,15.0
West Humber-Clairville,34100.0,21195.0,15145.0,15865.0,"[-79.5558065968119, 43.7073093326377]",0.0,28.0
Westminster-Branson,25445.0,19235.0,10180.0,12245.0,"[-79.4470012598403, 43.7670517885172]",1.0,18.0
Weston,18170.0,10720.0,7780.0,8625.0,"[-79.5206519989889, 43.6987539773945]",0.0,17.0
Weston-Pelham Park,12015.0,6240.0,5390.0,5680.0,"[-79.4569297958965, 43.676759807917406]",0.0,23.0
Wexford/Maryvale,27020.0,17625.0,10255.0,12515.0,"[-79.3195548771288, 43.7679300520975]",1.0,46.0
Willowdale East,45025.0,37220.0,23425.0,22810.0,"[-79.3911674290048, 43.7806330113652]",0.0,4.0
Willowdale West,15005.0,11950.0,6450.0,7225.0,"[-79.4137911698636, 43.7729777558747]",2.0,87.0
Willowridge-Martingrove-Richview,21345.0,14165.0,7670.0,9355.0,"[-79.5683296239203, 43.6741191022746]",0.0,9.0
Woburn,53350.0,33590.0,22885.0,21665.0,"[-79.2183581838386, 43.7490457922858]",1.0,14.0
Woodbine Corridor,11705.0,8225.0,5150.0,6440.0,"[-79.3099421226598, 43.6720732368789]",2.0,71.0
Woodbine-Lumsden,7825.0,5645.0,3195.0,4060.0,"[-79.3134366327372, 43.6872873462959]",0.0,44.0
Wychwood,13985.0,8890.0,5730.0,6700.0,"[-79.4146538367128, 43.6739102281804]",2.0,68.0
Yonge-Eglinton,10580.0,8515.0,4985.0,6145.0,"[-79.39764385903482, 43.7033975614873]",5.0,90.0
Yonge-St.Clair,11655.0,10230.0,5145.0,7010.0,"[-79.4050120547099, 43.6959787036027]",2.0,41.0
York University Heights,27715.0,17375.0,13615.0,12030.0,"[-79.5080896369474, 43.7627147512454]",0.0,21.0
Yorkdale-Glen Park,14685.0,8000.0,5370.0,6240.0,"[-79.4706576846475, 43.7253203436703]",1.0,39.0
